alt_idx,sheaf_idx,s-t-tuple,weight,u,v
0,0,inevitable,0,BKAD_121_B-9-1-1-arr-right,BKAD_121_B-9-1-1-dep-right
0,0,inevitable,0,BKAD_122_B-9-1-2-arr-right,BKAD_122_B-9-1-2-dep-right
0,0,inevitable,0,BKAD_122_B-9-1-2-dep-right,henkel_6_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-9-1-21
0,0,inevitable,0,henkel_6_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-9-1-21,BKAD_121_B-9-1-1-arr-right
0,0,inevitable,0,BKAD_122_B-8-1-2-arr-right,BKAD_122_B-8-1-2-dep-right
0,0,inevitable,0,BKAD_122_B-8-1-2-dep-right,henkel_4_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-8-1-21
0,0,inevitable,0,henkel_4_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-8-1-21,BKAD_121_B-8-1-1-arr-right
0,0,inevitable,0,BKAD_121_B-8-1-1-arr-right,BKAD_121_B-8-1-1-dep-right
0,0,inevitable,0,BNPL_682_B-48-1-1-arr-right,BNPL_682_B-48-1-1-dep-right
0,0,inevitable,0,BFFO_701_B-48-1-2-arr-right,BFFO_701_B-48-1-2-dep-right
0,0,inevitable,0,BFFO_701_B-48-1-2-dep-right,BBKS_391_WA-48-1-2-arr-right
0,0,inevitable,0,BBKS_391_WA-48-1-2-arr-right,BBKS_391_WA-48-1-2-dep-right
0,0,inevitable,0,BBKS_392_WA-48-1-1-dep-right,BFFO_702_B-48-1-1-arr-right
0,0,inevitable,0,BFFO_702_B-48-1-1-arr-right,BFFO_702_B-48-1-1-dep-right
0,0,inevitable,0,BOSB_11_B-48-1-1-arr-right,BOSB_11_B-48-1-1-dep-right
0,0,inevitable,0,BGSE_352_B-48-1-1-arr-right,BGSE_352_B-48-1-1-dep-right
